Q_ж,Q_н,Date
120.0,56.0,2026-03-01
119.65,55.496,2026-03-02
119.28108,54.996536,2026-03-03
118.9232368,54.50156718,2026-03-04
118.566467,54.01105307,2026-03-05
118.2107676,53.52495359,2026-03-06
117.8561353,53.04322901,2026-03-07
117.5025669,52.56583995,2026-03-08
117.1500592,52.09274739,2026-03-09
116.7986091,51.62391266,2026-03-10
120.4482132,54.15929745,2026-03-11
120.0868686,53.67186377,2026-03-12
119.726608,53.188817,2026-03-13
119.3674282,52.71011765,2026-03-14
119.0093259,52.23572659,2026-03-15
118.6522979,51.765,2026-03-16
118.296341,51.2997146,2026-03-17
117.941452,50.83801717,2026-03-18
117.5876276,50.38047502,2026-03-19
117.2348647,49.92705074,2026-03-20
