,Скважина,Наличие ГТМ,Тип ГТМ,Дата начала,Дата окончания,Обоснование
0,124,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
1,300,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
2,302,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
3,539Б,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
4,561Е,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
5,665,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
6,779,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
7,795,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
8,840,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
9,940Е,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
10,1095,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
11,1623В,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
12,2546,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
13,2685,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
14,2692,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
15,2732,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
16,3259,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
17,3354Б,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
18,3433,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
19,3549,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
20,3741Б,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
21,3984Б,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
22,4102,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
23,4107,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
24,4124,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
25,4894Б,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
26,4921,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
27,5450,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
28,6051,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
29,6055,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
30,6085Д,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
31,6087Б,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
32,6378,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
33,6897,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
34,6938,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
35,7782,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
36,8072,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
37,8131,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
38,8149,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
39,8260,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
