Скважина,Наличие ГТМ,Тип ГТМ,Дата начала,Дата окончания,Обоснование
124,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
300,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
302,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
539Б,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
561Е,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
665,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
779,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
795,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
840,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
940Е,Да,Изменение частоты вращения ЭЦН,2026-04-29,2026-04-30,Зафиксирован старт 'Изменение частоты вращения ЭЦН' от 29.04.2026. Базовый дебит Q_base = 1.2 т/сут. Окончание эффекта: 30.04.2026.
1095,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
1623В,Да,Изменение частоты вращения ЭЦН,2026-01-01,2026-08-31,Зафиксирован старт 'Изменение частоты вращения ЭЦН' от 01.01.2026. Базовый дебит Q_base = 0.0 т/сут. Окончание эффекта: 31.08.2026.
2546,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
2685,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
2692,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
2732,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
3259,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
3354Б,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
3433,Да,Изменение частоты вращения ЭЦН,2026-05-25,2026-05-26,Зафиксирован старт 'Изменение частоты вращения ЭЦН' от 25.05.2026. Базовый дебит Q_base = 14.0 т/сут. Окончание эффекта: 26.05.2026.
3549,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
3741Б,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
3984Б,Да,Изменение частоты вращения ЭЦН,2026-04-01,2026-04-02,Зафиксирован старт 'Изменение частоты вращения ЭЦН' от 01.04.2026. Базовый дебит Q_base = 10.5 т/сут. Окончание эффекта: 02.04.2026.
4102,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
4107,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
4124,Да,Изменение частоты вращения ЭЦН,2026-07-08,2026-07-09,Зафиксирован старт 'Изменение частоты вращения ЭЦН' от 08.07.2026. Базовый дебит Q_base = 3.2 т/сут. Окончание эффекта: 09.07.2026.
4894Б,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
4921,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
5450,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
6051,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
6055,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
6085Д,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
6087Б,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
6378,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
6897,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
6938,Да,Замена насосного оборудования,2026-01-06,2026-01-07,Зафиксирован старт 'Замена насосного оборудования' от 06.01.2026. Базовый дебит Q_base = 6.5 т/сут. Окончание эффекта: 07.01.2026.
7782,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
8072,Да,Изменение частоты вращения ЭЦН,2026-05-12,2026-05-21,Зафиксирован старт 'Изменение частоты вращения ЭЦН' от 12.05.2026. Базовый дебит Q_base = 12.0 т/сут. Окончание эффекта: 21.05.2026.
8131,Да,Изменение частоты вращения ЭЦН,2026-02-04,2026-02-05,Зафиксирован старт 'Изменение частоты вращения ЭЦН' от 04.02.2026. Базовый дебит Q_base = 3.4 т/сут. Окончание эффекта: 05.02.2026.
8149,Да,Изменение частоты вращения ЭЦН,2026-01-12,2026-01-13,Зафиксирован старт 'Изменение частоты вращения ЭЦН' от 12.01.2026. Базовый дебит Q_base = 5.3 т/сут. Окончание эффекта: 13.01.2026.
8260,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
8822,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
8859,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
9128,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
9423,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
9430,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
9854,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
10013,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
10083,Да,Изменение частоты вращения ЭЦН,2026-05-16,2026-05-17,Зафиксирован старт 'Изменение частоты вращения ЭЦН' от 16.05.2026. Базовый дебит Q_base = 3.7 т/сут. Окончание эффекта: 17.05.2026.
10312,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
10523,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
10552,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
10591,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
10613,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
10629,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
10817,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
10939,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
11057С,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
11082,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
11086,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
11089,Да,Изменение частоты вращения ЭЦН,2026-04-07,2026-04-08,Зафиксирован старт 'Изменение частоты вращения ЭЦН' от 07.04.2026. Базовый дебит Q_base = 4.5 т/сут. Окончание эффекта: 08.04.2026.
11130,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
11138,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
11138С,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
11183,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
11205,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
11220,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
11304,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
11446,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
11453,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
11465,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
11466,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
11470,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
11478,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
11483,Да,Изменение частоты вращения ЭЦН,2026-03-01,2026-03-02,Зафиксирован старт 'Изменение частоты вращения ЭЦН' от 01.03.2026. Базовый дебит Q_base = 6.4 т/сут. Окончание эффекта: 02.03.2026.
11495,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
11572,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
11588,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
11626,Да,Изменение частоты вращения ЭЦН,2026-03-24,2026-04-10,Зафиксирован старт 'Изменение частоты вращения ЭЦН' от 24.03.2026. Базовый дебит Q_base = 9.2 т/сут. Окончание эффекта: 10.04.2026.
11629,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
11650,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
11720,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
11734,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
11831,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
11853,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
11970,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
12067,Да,Изменение частоты вращения ЭЦН,2026-08-10,2026-08-11,Зафиксирован старт 'Изменение частоты вращения ЭЦН' от 10.08.2026. Базовый дебит Q_base = 4.8 т/сут. Окончание эффекта: 11.08.2026.
12180,Да,Изменение частоты вращения ЭЦН,2026-02-07,2026-08-31,Зафиксирован старт 'Изменение частоты вращения ЭЦН' от 07.02.2026. Базовый дебит Q_base = nan т/сут. Окончание эффекта: 31.08.2026.
12208,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
