well_id,well_cluster_id,gtm_type,reason_stop,start_date,end_date
7782,460,Увеличение F,по обводнённости,2026-01-28 00:00:00,2026-04-14 00:00:00
25253,1838,Увеличение F,по обводнённости,2026-02-04 00:00:00,2026-02-14 00:00:00
33306,454,Увеличение F,по обводнённости,2026-01-20 00:00:00,2026-01-20 00:00:00
40706,1934,Увеличение F,по жидкости,08.02.206,2026-03-19 00:00:00
3549,107А,Увеличение F,по обводнённости,2026-01-20 00:00:00,2026-04-27 00:00:00
39209,1747А,Увеличение F,по жидкости,2026-02-03 00:00:00,2026-02-07 00:00:00
4894Б,1915Б,Увеличение F,по жидкости,2026-01-20 00:00:00,2026-01-29 00:00:00
35546,1930Б,Увеличение F,по обводнённости,2026-02-03 00:00:00,2026-03-19 00:00:00
4107,418,Увеличение F,по обводнённости,2026-01-18 00:00:00,2026-06-08 00:00:00
16606,1615,Увеличение F,по жидкости,2026-01-18 00:00:00,2026-02-06 00:00:00
3984Б,1902,Увеличение F,по обводнённости,2026-01-20 00:00:00,2026-02-02 00:00:00
40336,1953,Увеличение F,по обводнённости,2026-01-18 00:00:00,2026-02-09 00:00:00
81038,4066,Увеличение F,НП,2026-02-06 00:00:00,2026-03-23 00:00:00
81003,4307,Увеличение F,по обводнённости,2026-01-19 00:00:00,2026-01-21 00:00:00
6897,1612Б,Увеличение F,по обводнённости,2026-01-15 00:00:00,2026-05-08 00:00:00
40005,608Б,Увеличение F,по жидкости,2026-01-21 00:00:00,2026-02-06 00:00:00
37297,1853,Изменение режима работы ЦЭС,по обводнённости,2026-01-24 00:00:00,2026-02-10 00:00:00
81002,1908Б,Изменение режима работы ЦЭС,по жидкости,2026-01-26 00:00:00,2026-02-07 00:00:00
2546,618Б,Изменение режима работы ЦЭС,по обводнённости,2026-01-30 00:00:00,2026-06-25 00:00:00
2732,618Б,Изменение режима работы ЦЭС,отказ ЭЦН,2026-01-21 00:00:00,2026-05-17 00:00:00
16352,940,Изменение режима работы ЦЭС,по жидкости,2026-01-20 00:00:00,2026-01-27 00:00:00
9128,1934,Изменение режима работы ЦЭС,ЗСП,2026-01-20 00:00:00,2026-03-19 00:00:00
35685,1915Б,Изменение режима работы ЦЭС,по обводнённости,2026-01-23 00:00:00,2026-01-27 00:00:00
37670,1950Б,Изменение режима работы ЦЭС,по жидкости,2026-01-21 00:00:00,2026-04-20 00:00:00
81034,1950Б,Изменение режима работы ЦЭС,по жидкости,2026-01-29 00:00:00,2026-03-29 00:00:00
302,14,Установка ЧРП и изменение частоты,отказ ЭЦН,2026-01-28 00:00:00,2026-03-30 00:00:00
12067,1092,Изменение режима работы ЦЭС,по жидкости,2026-01-21 00:00:00,2026-02-11 00:00:00
12208,1081А,Изменение режима работы ЦЭС,по жидкости,2026-01-23 00:00:00,2026-01-31 00:00:00
15025,553,Изменение режима работы ЦЭС,по обводнённости,2026-01-22 00:00:00,2026-01-30 00:00:00
16852,555,Изменение режима работы ЦЭС,по жидкости,2026-01-27 00:00:00,2026-02-02 00:00:00
12898,1170,Изменение режима работы ЦЭС,по обводнённости,2026-01-21 00:00:00,2026-01-24 00:00:00
37811,1185,Изменение режима работы ЦЭС,отказ ЭЦН,2026-01-25 00:00:00,2026-01-26 00:00:00
37797,3050,Изменение режима работы ЦЭС,по обводнённости,2026-01-21 00:00:00,2026-01-25 00:00:00
38232,3050,Изменение режима работы ЦЭС,по жидкости,2026-01-23 00:00:00,2026-01-24 00:00:00
12904,23Е,Изменение режима работы ЦЭС,по жидкости,2026-01-22 00:00:00,2026-01-25 00:00:00
31219,1351,Изменение режима работы ЦЭС,по жидкости,2026-01-21 00:00:00,2026-01-31 00:00:00
13245,697Б,Изменение режима работы ЦЭС,по обводнённости,2026-01-20 00:00:00,2026-02-02 00:00:00
6051,97А,Увеличение F,Отказ ЭЦН,2026-01-22 00:00:00,2026-01-31 00:00:00
13769,1800,Увеличение F,по обводнённости,2026-01-24 00:00:00,2026-02-01 00:00:00
35560,1770Б,Увеличение F,ИДН,2026-01-24 00:00:00,2026-02-27 00:00:00
2692,330,Увеличение F,ИДН,2026-01-20 00:00:00,2026-03-13 00:00:00
40939,1404,Увеличение F,отказ ЭЦН,2026-01-31 00:00:00,2026-04-09 00:00:00
840,1405Б,Увеличение F,по обводнённости,2026-01-22 00:00:00,2026-02-20 00:00:00
30647,768А,Увеличение F,по обводнённости,2026-02-08 00:00:00,2026-04-22 00:00:00
36002,1487,Изменение режима работы ЦЭС,по жидкости,2026-01-18 00:00:00,2026-01-25 00:00:00
39142,3026,Изменение режима работы ЦЭС,отказ ЭЦН,2026-01-23 00:00:00,2026-04-18 00:00:00
13834,2073,Увеличение F,по обводнённости,2026-01-20 00:00:00,2026-01-21 00:00:00
124,2079,Увеличение F,по жидкости,2026-01-21 00:00:00,2026-05-18 00:00:00
35827,306,Изменение режима работы ЦЭС,по жидкости,2026-01-27 00:00:00,2026-07-28 00:00:00
39321,1712,Изменение режима работы ЦЭС,по обводнённости,2026-01-20 00:00:00,2026-03-25 00:00:00
37032,1980,Изменение режима работы ЦЭС,по обводнённости,2026-01-16 00:00:00,2026-06-30 00:00:00
38298,2076,Изменение режима работы ЦЭС,по обводнённости,2026-01-23 00:00:00,2026-01-29 00:00:00
37812,2078,Изменение режима работы ЦЭС,Остановка на ГТМ,2026-01-23 00:00:00,2026-04-17 00:00:00
15510,2079,Изменение режима работы ЦЭС,по жидкости,2026-01-20 00:00:00,2026-02-17 00:00:00
32982,2085,Изменение режима работы ЦЭС,по жидкости,2026-01-23 00:00:00,2026-05-21 00:00:00
38102,2085,Изменение режима работы ЦЭС,по жидкости,2026-01-19 00:00:00,2026-02-12 00:00:00
38164,2085,Изменение режима работы ЦЭС,по жидкости,2026-01-27 00:00:00,2026-03-02 00:00:00
36139,2202,Изменение режима работы ЦЭС,по обводнённости,2026-01-20 00:00:00,2026-01-27 00:00:00
4102,268А,Изменение режима работы ЦЭС,по жидкости,2026-01-23 00:00:00,2026-01-29 00:00:00
6378,284Б,Изменение режима работы ЦЭС,по жидкости,2026-01-22 00:00:00,2026-02-09 00:00:00
12559,1109,Увеличение F,по обводнённости,2026-01-22 00:00:00,2026-02-04 00:00:00
10552,235,Увеличение F,по жидкости,2026-01-27 00:00:00,2026-02-09 00:00:00
26994,1236,Увеличение F,по жидкости,2026-02-12 00:00:00,2026-03-12 00:00:00
75516,4104,Увеличение F,по жидкости,2026-02-03 00:00:00,2026-02-09 00:00:00
36442,224Б,Увеличение F,по жидкости,2026-01-23 00:00:00,2026-02-28 00:00:00
